state_name,schooldistrict_code,sd_name,n_points,total_children,children_in_desert,percent_in_desert,mean_adj_supply,low_sample
Alabama,100003,Maxwell AFB School District,11,110,110,100,0.010366390502163309,FALSE
Alaska,200003,Lower Yukon School District,14,140,140,100,0,FALSE
Alaska,200007,Aleutians East Borough School District,13,130,130,100,0,FALSE
Alaska,200070,Copper River School District,25,250,250,100,0,FALSE
Alaska,200090,Craig City School District,1,10,10,100,0,TRUE
Alaska,200100,Delta/Greely School District,29,290,290,100,0,FALSE
Alaska,200180,Anchorage School District,2289,22890,22880,100,0.01228108110528635,FALSE
Alaska,200485,Lake and Peninsula Borough School District,11,110,110,100,0,FALSE
Alaska,200510,Matanuska-Susitna Borough School District,861,8610,8610,100,3.3266869918699395e-5,FALSE
Alaska,200520,Iditarod Area School District,15,150,150,100,0,FALSE
Alaska,200600,Fairbanks North Star Borough School District,792,7920,7920,100,0,FALSE
Alaska,200730,Chatham School District,8,80,80,100,0,FALSE
Alaska,200760,Kuspuk School District,8,80,80,100,0,FALSE
Alaska,200770,Denali Borough School District,9,90,90,100,0,FALSE
Alaska,200775,Yukon Flats School District,7,70,70,100,0,FALSE
Alaska,200780,Valdez City School District,6,60,60,100,3.5280335000000005e-10,FALSE
Alaska,200810,Wrangell School District,14,140,140,100,0.07249094571428571,FALSE
Alaska,200862,Yukon-Koyukuk School District,22,220,220,100,0.003499545136363637,FALSE
Arizona,400022,Vernon Elementary District,8,80,80,100,3.5537116549999987e-7,FALSE
Arizona,400026,Heber-Overgaard Unified District,12,120,120,100,0,FALSE
Arizona,400480,Aguila Elementary District,1,10,10,100,0.0030218996,TRUE
Arizona,400910,Ash Fork Joint Unified District,15,150,150,100,6.36529242e-5,FALSE
Arizona,401160,Bicentennial Union High School District,22,220,220,100,0.05044705105572728,FALSE
Arizona,401260,Bonita Elementary District,4,40,40,100,0,TRUE
Arizona,401330,Bowie Unified District,6,60,60,100,0,FALSE
Arizona,401650,Canon Elementary District,11,110,110,100,1.0403577272727272e-5,FALSE
Arizona,402130,Cochise Elementary District,2,20,20,100,0,TRUE
Arizona,402220,Congress Elementary District,12,120,120,100,0,FALSE
Arizona,402820,Empire Elementary District,5,50,50,100,0,FALSE
Arizona,403080,Fredonia-Moccasin Unified District,36,360,360,100,0.00996111821767247,FALSE
Arizona,403660,Hackberry School District,16,160,160,100,0,FALSE
Arizona,404170,Kirkland Elementary District,5,50,50,100,0.0101433643770058,FALSE
Arizona,404200,Klondyke Elementary District,4,40,40,100,0,TRUE
Arizona,404820,Mayer Unified District,14,140,140,100,2.6532817143e-9,FALSE
Arizona,404860,McNary Elementary District,1,10,10,100,0,TRUE
Arizona,404920,McNeal Elementary District,3,30,30,100,0,TRUE
Arizona,405100,Mobile Elementary District,10,100,100,100,0,FALSE
Arizona,405340,Morristown Elementary District,14,140,140,100,0.042238696026507,FALSE
Arizona,405460,Nadaburg Unified School District,52,520,520,100,0.05814174194975202,FALSE
Arizona,405640,Oracle Elementary District,21,210,210,100,0.01685630863969143,FALSE
Arizona,406120,Peach Springs Unified District,4,40,40,100,3.11772225e-8,TRUE
Arizona,406630,Pomerene Elementary District,1,10,10,100,0.011366373,TRUE
Arizona,406870,Red Mesa Unified District,44,440,440,100,0.01484168728847073,FALSE
Arizona,406930,Redington Elementary District,4,40,40,100,0,TRUE
Arizona,407130,Round Valley Unified District,95,950,950,100,0.06949557606214771,FALSE
Arizona,407380,San Fernando Elementary District,1,10,10,100,0,TRUE
Arizona,407430,San Simon Unified District,4,40,40,100,0,TRUE
Arizona,407500,Santa Cruz Elementary District,20,200,200,100,0.007019765177170002,FALSE
Arizona,407630,Seligman Unified District,6,60,60,100,0,FALSE
Arizona,407680,Sentinel Elementary District,3,30,30,100,0,TRUE
