state_name,n_districts,total_children,children_in_desert,pct_desert_weighted,pct_desert_unweighted
Puerto Rico,2,130240,130240,100,100
Alaska,40,55960,54010,96.5,90.7
Hawaii,2,98620,94550,95.9,96.3
Idaho,112,136320,113730,83.4,86.3
Kansas,285,210870,172850,82,78.4
Montana,156,70530,48460,68.7,88.2
Nevada,17,211400,141280,66.8,75.5
Indiana,292,492710,321670,65.3,77.1
Washington,287,522280,334290,64,79.4
West Virginia,55,105260,62130,59,69.7
Virginia,137,593190,340160,57.3,67.6
Utah,41,283690,161910,57.1,64.1
California,457,2652950,1493390,56.3,65
North Carolina,119,710630,395610,55.7,64
Tennessee,143,490020,268080,54.7,61.7
Alabama,142,354150,191520,54.1,55.2
Mississippi,138,211160,113550,53.8,61
Wisconsin,378,383510,206130,53.7,69.3
Arkansas,233,222240,116480,52.4,70.5
Kentucky,174,317440,165060,52,56.1
Maine,212,76530,39000,51,70.4
Michigan,530,658390,327080,49.7,63
Louisiana,70,347630,172060,49.5,61.7
Illinois,488,851790,419740,49.3,65.4
Missouri,511,433160,213340,49.3,73.6
South Dakota,145,70870,34520,48.7,78.6
Wyoming,48,38320,18460,48.2,68.6
Arizona,149,479300,229980,48,74.8
South Carolina,76,346190,164810,47.6,59.2
New Hampshire,145,75730,35210,46.5,64.4
Vermont,96,33420,15160,45.4,58.7
Georgia,183,764430,345540,45.2,62.3
Pennsylvania,501,823340,372480,45.2,62
Colorado,173,377920,170180,45,72.1
Oklahoma,504,296140,131340,44.4,70.7
Oregon,181,254440,112430,44.2,73.8
North Dakota,167,62820,27510,43.8,79
New Mexico,86,133180,57050,42.8,72.3
Rhode Island,35,64100,23670,36.9,53.1
Iowa,325,229470,82640,36,59
Florida,68,1335640,460440,34.5,54.2
New York,648,1311240,452410,34.5,61.1
Maryland,25,430690,148060,34.4,46.3
Minnesota,328,407860,134720,33,54.9
Ohio,611,807750,262520,32.5,51.4
Texas,997,2314840,724150,31.3,63
Connecticut,140,217070,65280,30.1,43.3
Delaware,17,65470,17150,26.2,38.5
Nebraska,244,150390,38590,25.7,63.6
New Jersey,380,631470,159300,25.2,30.7
Massachusetts,239,419470,89760,21.4,34.7
District of Columbia,2,49160,2650,5.4,29.4
