state_name,county_type_aian_25,total_areas,n_distinct_counties,pct_in_desert
Alaska,Predominantly AIAN,707,12,92.9
Wisconsin,Predominantly AIAN,48,1,91.7
Montana,Predominantly AIAN,458,5,86
Arizona,Predominantly AIAN,1143,2,85.8
South Dakota,Predominantly AIAN,761,12,84.4
Utah,Predominantly AIAN,113,1,82.3
North Dakota,Predominantly AIAN,300,4,73.7
Minnesota,Predominantly AIAN,63,1,68.3
New Mexico,Predominantly AIAN,1517,3,61.8
Nebraska,Predominantly AIAN,69,1,60.9
Oklahoma,Predominantly AIAN,467,2,57.2
North Carolina,Predominantly AIAN,1030,2,56.5
