state_name,pct_in_desert,avg_pct_asian,avg_pct_nhpi,avg_pct_aapi,avg_pct_aian
Alabama,54.1,1.6,2.8,4.4,0.7
Alaska,96.5,5.7,2.4,8.1,16.4
Arizona,48,3.7,12.9,16.5,4.4
Arkansas,52.4,1.8,4.7,6.6,0.9
California,56.3,14.9,21.6,36.6,1.6
Colorado,45,3.5,8.4,12,1.3
Delaware,26.2,4.3,4.8,9.2,0.5
District of Columbia,5.4,4.9,5.4,10.3,0.5
Florida,34.5,3.1,7.5,10.6,0.4
Georgia,45.2,4.5,5.3,9.8,0.5
Hawaii,95.9,37.5,1.8,39.3,0.3
Idaho,83.4,1.4,6.1,7.5,1.4
Illinois,49.3,5.9,8.9,14.8,0.8
Indiana,65.3,2.5,4,6.6,0.4
Iowa,36,2.4,2.9,5.3,0.5
Kansas,82,3,5.4,8.4,1.1
Kentucky,52,1.7,2.2,3.9,0.3
Louisiana,49.5,1.9,3.1,4.9,0.7
Maine,51,1.2,0.7,2,0.6
Maryland,34.4,6.8,6.8,13.6,0.5
Massachusetts,21.4,7.3,7.2,14.5,0.3
Michigan,49.7,3.3,2.3,5.6,0.6
Minnesota,33,5.3,3,8.4,1.2
Mississippi,53.8,1.1,1.9,3,0.6
Missouri,49.3,2.1,2.1,4.3,0.5
Montana,68.7,0.8,1.3,2,7.3
Nebraska,25.7,2.8,5.6,8.4,1.3
Nevada,66.8,8.9,14.1,23,1.4
New Hampshire,46.5,2.7,1.9,4.5,0.2
New Jersey,25.2,10,11.7,21.6,0.6
New Mexico,42.8,1.7,15.5,17.2,10.3
New York,34.5,9.7,11.4,21.1,0.8
North Carolina,55.7,3.4,6.1,9.6,1.3
North Dakota,43.8,1.7,1.6,3.3,5.6
Ohio,32.5,2.6,1.9,4.6,0.3
Oklahoma,44.4,2.3,5.6,8,8.2
Oregon,44.2,4.6,6.6,11.2,1.5
Pennsylvania,45.2,4,4.1,8.2,0.2
Puerto Rico,100,0.1,25.5,25.6,0.6
Rhode Island,36.9,3.7,10.2,13.9,0.7
South Carolina,47.6,1.8,3.5,5.3,0.5
South Dakota,48.7,1.6,1.8,3.3,10.9
Tennessee,54.7,2.1,3.8,5.8,0.4
Texas,31.3,5.4,13.9,19.3,1
Utah,57.1,2.4,6.6,9,1.2
Vermont,45.4,1.8,0.8,2.6,0.4
Virginia,57.3,7.5,5.5,13,0.5
Washington,64,9.3,7.2,16.5,1.6
West Virginia,59,0.8,0.8,1.6,0.2
Wisconsin,53.7,3.1,3.3,6.3,1.1
Wyoming,48.2,0.9,3.4,4.3,2.6
