GEOID,CD,STATE ABBRV,TOTAL CHILDREN,DESERT CHILDREN,PCT IN DESERT
200,AK-AL,AK,55960,54010,96.5
101,AL-01,AL,51990,27280,52.5
102,AL-02,AL,51530,27740,53.8
103,AL-03,AL,47520,29220,61.5
104,AL-04,AL,51460,34990,68.0
105,AL-05,AL,49740,24100,48.5
106,AL-06,AL,50900,27810,54.6
107,AL-07,AL,51010,20380,40.0
501,AR-01,AR,54690,32050,58.6
502,AR-02,AR,52240,21370,40.9
503,AR-03,AR,60440,29820,49.3
504,AR-04,AR,54860,33250,60.6
401,AZ-01,AZ,44250,10600,24.0
402,AZ-02,AZ,47930,34130,71.2
403,AZ-03,AZ,67320,37140,55.2
404,AZ-04,AZ,54210,11900,22.0
405,AZ-05,AZ,54600,24450,44.8
406,AZ-06,AZ,44800,20780,46.4
407,AZ-07,AZ,58890,30940,52.5
408,AZ-08,AZ,49380,18440,37.3
409,AZ-09,AZ,57920,41600,71.8
601,CA-01,CA,52110,32110,61.6
610,CA-02,CA,49280,17210,34.9
611,CA-03,CA,36800,4600,12.5
612,CA-04,CA,47440,15610,32.9
613,CA-05,CA,68000,53750,79.0
614,CA-06,CA,49540,20100,40.6
615,CA-07,CA,44860,7460,16.6
616,CA-08,CA,46740,9040,19.3
617,CA-09,CA,50690,9470,18.7
618,CA-10,CA,59750,33350,55.8
619,CA-11,CA,40300,21600,53.6
602,CA-12,CA,42750,21330,49.9
620,CA-13,CA,63120,53270,84.4
621,CA-14,CA,67730,57020,84.2
622,CA-15,CA,69150,54840,79.3
623,CA-16,CA,60820,55330,91.0
624,CA-17,CA,47340,20390,43.1
625,CA-18,CA,54800,37430,68.3
626,CA-19,CA,48810,27250,55.8
627,CA-20,CA,54640,32700,59.8
628,CA-21,CA,40820,11240,27.5
629,CA-22,CA,48180,22020,45.7
603,CA-23,CA,44400,23080,52.0
630,CA-24,CA,37300,8560,22.9
631,CA-25,CA,46890,26050,55.6
632,CA-26,CA,48860,14630,29.9
633,CA-27,CA,58790,52300,89.0
634,CA-28,CA,42720,20770,48.6
635,CA-29,CA,58710,48790,83.1
636,CA-30,CA,41610,5930,14.3
637,CA-31,CA,47970,26020,54.2
638,CA-32,CA,46230,26580,57.5
639,CA-33,CA,56380,47830,84.8
604,CA-34,CA,45870,24250,52.9
640,CA-35,CA,50600,23620,46.7
641,CA-36,CA,52830,42070,79.6
642,CA-37,CA,49890,38380,76.9
643,CA-38,CA,55220,26680,48.3
644,CA-39,CA,49280,31830,64.6
645,CA-40,CA,46190,23130,50.1
646,CA-41,CA,53010,46030,86.8
647,CA-42,CA,46160,19880,43.1
648,CA-43,CA,56470,35730,63.3
649,CA-44,CA,51420,21300,41.4
605,CA-45,CA,49430,34510,69.8
