"state_abbrv","total_cds_in_state","n_desert_50","n_desert_80","pct_cds_desert_50","pct_cds_desert_80"
"AK",1,1,1,100,100
"HI",2,2,2,100,100
"ID",2,2,2,100,100
"KS",4,4,2,100,50
"MT",2,2,0,100,0
"NV",4,4,0,100,0
"UT",4,4,0,100,0
"WV",2,2,0,100,0
"WA",10,9,0,90,0
"IN",9,8,0,88.9,0
"TN",9,8,0,88.9,0
"VA",11,9,0,81.8,0
"NC",14,11,0,78.6,0
"MS",4,3,0,75,0
"WI",8,6,0,75,0
"KY",6,4,0,66.7,0
"CA",52,30,7,57.7,13.5
"AL",7,4,0,57.1,0
"IL",17,9,0,52.9,0
"AR",4,2,0,50,0
"GA",14,7,0,50,0
"LA",6,3,0,50,0
"ME",2,1,0,50,0
"MO",8,4,0,50,0
"NH",2,1,0,50,0
"PA",17,8,0,47.1,0
"MI",13,6,0,46.2,0
"AZ",9,4,0,44.4,0
"CO",8,3,0,37.5,0
"OR",6,2,0,33.3,0
"NY",26,8,0,30.8,0
"SC",7,2,0,28.6,0
"MN",8,2,0,25,0
"OK",5,1,0,20,0
"FL",28,4,0,14.3,0
"OH",15,2,0,13.3,0
"NJ",12,1,0,8.3,0
"TX",38,1,0,2.6,0
"CT",5,0,0,0,0
"DC",1,0,0,0,0
"DE",1,0,0,0,0
"IA",4,0,0,0,0
"MA",9,0,0,0,0
"MD",8,0,0,0,0
"ND",1,0,0,0,0
"NE",3,0,0,0,0
"NM",3,0,0,0,0
"RI",2,0,0,0,0
"SD",1,0,0,0,0
"VT",1,0,0,0,0
"WY",1,0,0,0,0
