state_fips,state_name,state_abbrv,total_eligible_children,eligible_in_other_zero,eligible_in_hs_any_others_zero,pct_of_all_eligible,pct_of_other_zero_eligible
42,Pennsylvania,PA,131924.29531262076,8371.152259047574,1155.9563940450096,0.8762,13.81
26,Michigan,MI,124132.00431948225,5606.769421650888,642.1847096360887,0.5173,11.45
18,Indiana,IN,90793.36290655758,9462.879274228006,1014.8594433549275,1.1178,10.72
54,West Virginia,WV,25957.774458250784,4926.733333131718,519.3832016146904,2.0009,10.54
39,Ohio,OH,158884.50691674673,5920.221960783649,610.6348932777906,0.3843,10.31
06,California,CA,377306.55431359686,12401.193861743906,1101.4860216561956,0.2919,8.88
04,Arizona,AZ,80481.30578097345,6213.305521757367,543.6039742619603,0.6754,8.75
28,Mississippi,MS,58475.58670082905,12755.50432601378,949.3712329266818,1.6235,7.44
46,South Dakota,SD,11347.432124470677,3982.956395102743,290.9650000000004,2.5641,7.31
51,Virginia,VA,69146.54338260765,6187.17845689008,431.0649299328386,0.6234,6.97
37,North Carolina,NC,132199.17609198482,11136.0903573062,682.4890588791149,0.5163,6.13
41,Oregon,OR,34868.88449818376,3530.9573285814226,202.73430299819145,0.5814,5.74
33,New Hampshire,NH,6043.254796752067,470.45087679618234,26.791839826839826,0.4433,5.69
22,Louisiana,LA,95832.27096861058,8764.030783605862,481.96638866175226,0.5029,5.5
13,Georgia,GA,138214.43615956488,10869.923630394645,574.8838709716208,0.4159,5.29
05,Arkansas,AR,53220.4875898855,8917.317117168908,452.2218182366291,0.8497,5.07
45,South Carolina,SC,72720.20488842532,5347.91329068116,259.5056219164598,0.3569,4.85
53,Washington,WA,61486.962320076265,5862.19151543733,272.45484557618187,0.4431,4.65
35,New Mexico,NM,28875.899295910935,4227.958892053721,196.13761381143385,0.6792,4.64
21,Kentucky,KY,70303.8901101481,11318.159221283546,523.6067039188879,0.7448,4.63
30,Montana,MT,9971.99592059034,3321.600689105838,152.35687842617156,1.5278,4.59
47,Tennessee,TN,90655.69443601763,8851.643193659429,381.546099415605,0.4209,4.31
49,Utah,UT,28661.37334676183,1929.32779547906,72.51781733179101,0.253,3.76
34,New Jersey,NJ,76663.61673004278,853.3282335810098,25.35096379055055,0.0331,2.97
44,Rhode Island,RI,9120.23623648755,122.18622762714857,3.2601620370370377,0.0357,2.67
12,Florida,FL,232281.17487802036,10641.190499642207,274.2456287138067,0.1181,2.58
08,Colorado,CO,40516.42355809806,2459.4204588115094,61.537775311925884,0.1519,2.5
27,Minnesota,MN,44646.74980795364,2660.101268508167,65.58342987907696,0.1469,2.47
01,Alabama,AL,84603.59435887769,11816.19428610051,289.289042728912,0.3419,2.45
20,Kansas,KS,33099.93714826977,3202.2309398029465,77.35904249780722,0.2337,2.42
29,Missouri,MO,73389.64994961745,8266.7799541317,197.34401851302388,0.2689,2.39
56,Wyoming,WY,5524.273947219542,1224.1753672993584,29.07999999999999,0.5264,2.38
50,Vermont,VT,3773.288186019274,389.3522010394149,8.16870588235294,0.2165,2.1
36,New York,NY,215680.54919552465,5974.961556302328,123.31232641751504,0.0572,2.06
17,Illinois,IL,138508.38482960302,5182.687666746605,85.20129487179493,0.0615,1.64
23,Maine,ME,10456.829931816743,1428.4800398488098,20.955931323950985,0.2004,1.47
55,Wisconsin,WI,49151.042146659296,4137.665013467999,60.25565541218591,0.1226,1.46
19,Iowa,IA,32073.971514190474,2503.648713991353,33.081785714285694,0.1031,1.32
40,Oklahoma,OK,66079.91322110844,5701.580989817207,72.45918630168626,0.1097,1.27
24,Maryland,MD,51019.616681688196,753.5868030671195,8.509523809523808,0.0167,1.13
38,North Dakota,ND,7936.881525062739,1811.1612305764475,20.025238095238095,0.2523,1.11
31,Nebraska,NE,19256.26070991086,1047.502326159258,11.504999999999999,0.0597,1.1
48,Texas,TX,462340.85563096975,20504.250612394357,207.60191607526,0.0449,1.01
25,Massachusetts,MA,47278.438593880805,631.964761582123,5.967990430622009,0.0126,0.94
16,Idaho,ID,20672.702759311323,2559.037042323929,20.65127777777778,0.0999,0.81
02,Alaska,AK,8531.452761904879,7326.745071428675,49.99071428571428,0.586,0.68
32,Nevada,NV,36029.99140634948,1282.0240295505284,2.2445426356589153,0.0062,0.18
15,Hawaii,HI,11168.273035180351,8817.484953785623,13.12581395348837,0.1175,0.15
09,Connecticut,CT,26774.483874108162,191.6850611308058,0,0,0
10,Delaware,DE,10705.03255837479,72.49174977196718,0,0,0
11,District of Columbia,DC,7524.9736040607095,13.776395939086296,0,0,0
