state_name,state_abbrv,total_eligible_children,desert_eligible_children,no_access_eligible_children,pct_eligible_in_desert,pct_eligible_no_access
Alabama,AL,84603.59435887769,83374.65231667279,35674.845257340145,98.5,42.2
Alaska,AK,8531.452761904879,8420.771333333434,8176.174761904917,98.7,95.8
Arizona,AZ,80481.30578097345,79870.01261938452,16466.401203739148,99.2,20.5
Arkansas,AR,53220.4875898855,52626.09229657884,19165.417667778765,98.9,36
California,CA,377306.55431359686,376783.95746440795,32526.868398162023,99.9,8.6
Colorado,CO,40516.42355809806,40170.45627201177,9503.363436118065,99.1,23.5
Connecticut,CT,26774.483874108162,26761.618301717583,5365.413423903609,100,20
Delaware,DE,10705.03255837479,10667.908210548712,2057.2500687139423,99.7,19.2
District of Columbia,DC,7524.9736040607095,7524.9736040607095,21.429949238578686,100,0.3
Florida,FL,232281.17487802036,230783.50359908634,50071.916202894834,99.4,21.6
Georgia,GA,138214.43615956488,136606.026277368,49030.37084125317,98.8,35.5
Hawaii,HI,11168.273035180351,11159.561320064075,9819.308558436542,99.9,87.9
Idaho,ID,20672.702759311323,20571.170906972115,5280.064814397775,99.5,25.5
Illinois,IL,138508.38482960302,137866.95728137673,30963.743467664848,99.5,22.4
Indiana,IN,90793.36290655758,90575.11618754166,26910.26011468338,99.8,29.6
Iowa,IA,32073.971514190474,31935.36661564878,8780.138357531852,99.6,27.4
Kansas,KS,33099.93714826977,32964.14780036797,10310.453300225114,99.6,31.1
Kentucky,KY,70303.8901101481,68200.41418717262,21082.50915910829,97,30
Louisiana,LA,95832.27096861058,94149.9870800554,26604.694780998074,98.2,27.8
Maine,ME,10456.829931816743,10354.029167317423,5140.739223711625,99,49.2
Maryland,MD,51019.616681688196,50966.07310033885,8828.031799706154,99.9,17.3
Massachusetts,MA,47278.438593880805,47233.947752839624,7660.821578491167,99.9,16.2
Michigan,MI,124132.00431948225,122897.32515007665,22558.003811950628,99,18.2
Minnesota,MN,44646.74980795364,44376.98583556524,12520.766322144538,99.4,28
Mississippi,MS,58475.58670082905,52997.017820951805,22767.971907108113,90.6,38.9
Missouri,MO,73389.64994961745,72797.67352328598,21603.339539527256,99.2,29.4
Montana,MT,9971.99592059034,9643.458997513406,4155.337853337812,96.7,41.7
Nebraska,NE,19256.26070991086,19095.062696923767,4103.614795226758,99.2,21.3
Nevada,NV,36029.99140634948,35998.60819704718,11140.771361823148,99.9,30.9
New Hampshire,NH,6043.254796752067,6027.69953978681,3108.838909327272,99.7,51.4
New Jersey,NJ,76663.61673004278,76609.94173783074,9505.916032684308,99.9,12.4
New Mexico,NM,28875.899295910935,28479.98352676337,7402.888320143858,98.6,25.6
New York,NY,215680.54919552465,215189.7590412297,26868.802025869758,99.8,12.5
North Carolina,NC,132199.17609198482,130663.28551568341,66548.22240627075,98.8,50.3
North Dakota,ND,7936.881525062739,7757.522596491322,2983.6075572264185,97.7,37.6
Ohio,OH,158884.50691674673,158153.1408037809,29441.728135108144,99.5,18.5
Oklahoma,OK,66079.91322110844,64612.97795321725,14302.986011470608,97.8,21.6
Oregon,OR,34868.88449818376,34316.895100479065,5097.4603590100505,98.4,14.6
Pennsylvania,PA,131924.29531262076,130935.45374744214,23550.28062415444,99.3,17.9
Rhode Island,RI,9120.23623648755,9120.23623648755,467.3546384901656,100,5.1
South Carolina,SC,72720.20488842532,71274.01763273268,34412.24507582921,98,47.3
South Dakota,SD,11347.432124470677,10883.758791137156,4901.501381063852,95.9,43.2
Tennessee,TN,90655.69443601763,89791.32807841199,28220.579692381045,99,31.1
Texas,TX,462340.85563096975,459386.23184739996,99701.74031375443,99.4,21.6
Utah,UT,28661.37334676183,28623.196525333176,4806.631825150512,99.9,16.8
Vermont,VT,3773.288186019274,3713.1601860192773,2003.3909243192204,98.4,53.1
Virginia,VA,69146.54338260765,68511.16026645296,16985.767203772077,99.1,24.6
Washington,WA,61486.962320076265,61113.2775303935,14405.331618007105,99.4,23.4
West Virginia,WV,25957.774458250784,24638.223348764936,6508.36874515466,94.9,25.1
Wisconsin,WI,49151.042146659296,48959.16824074688,15784.360682044391,99.6,32.1
Wyoming,WY,5524.273947219542,5490.400280552868,1680.0577697302606,99.4,30.4
