state_name,state_abbrv,urbanicity,total_eligible_children,desert_eligible_children,no_access_eligible_children,pct_eligible_in_desert,pct_eligible_no_access
Alabama,AL,Rural,27557.539019715266,26772.71595369796,15317.613545496455,97.2,55.6
Alabama,AL,Urban,57046.055339200975,56601.93636301009,20357.231711847344,99.2,35.7
Alaska,AK,Rural,3050.1214285714263,2939.44,2694.8434285714343,96.4,88.4
Alaska,AK,Urban,5481.331333333369,5481.331333333369,5481.331333333369,100,100
Arizona,AZ,Rural,6956.692936508068,6590.395158730291,4028.84812698409,94.7,57.9
Arizona,AZ,Urban,73524.61284449304,73279.6174606803,12437.553076755581,99.7,16.9
Arkansas,AR,Rural,23391.70227056991,22824.647389027847,11445.078495286913,97.6,48.9
Arkansas,AR,Urban,29828.78531930922,29801.44490754451,7720.339172492972,99.9,25.9
California,CA,Rural,9481.894943417903,9299.668500111184,3043.31584038187,98.1,32.1
California,CA,Urban,367824.6593701903,367484.28896430763,29483.5525577795,99.9,8
Colorado,CO,Rural,6092.203387446137,5749.043450757768,3085.3750735930635,94.4,50.6
Colorado,CO,Urban,34424.220170653,34421.41282125543,6417.988362524496,100,18.6
Connecticut,CT,Rural,877.5230769230686,877.5230769230686,364.56470085470073,100,41.5
Connecticut,CT,Urban,25896.960797185377,25884.0952247948,5000.848723048915,100,19.3
Delaware,DE,Rural,2512.0808695652763,2474.9565217391882,878.6095652174014,98.5,35
Delaware,DE,Urban,8192.951688810144,8192.951688810144,1178.6405034965246,100,14.4
District of Columbia,DC,Urban,7524.9736040607095,7524.9736040607095,21.429949238578686,100,0.3
Florida,FL,Rural,15257.531139548204,14475.382680923554,7436.8290485821035,94.9,48.7
Florida,FL,Urban,217023.6437385225,216308.1209182091,42635.08715432116,99.7,19.6
Georgia,GA,Rural,37319.31264192179,36068.273999064615,18763.627385197433,96.6,50.3
Georgia,GA,Urban,100895.12351765601,100537.75227831738,30266.74345605647,99.6,30
Hawaii,HI,Rural,2975.0266569766786,2966.314941860399,1626.0621802325622,99.7,54.7
Hawaii,HI,Urban,8193.246378204403,8193.246378204403,8193.246378204403,100,100
Idaho,ID,Rural,6907.5686893939655,6830.760689393973,3351.6172348484474,98.9,48.5
Idaho,ID,Urban,13765.134069918617,13740.410217579447,1928.4475795493724,99.8,14
Illinois,IL,Rural,22059.194954712377,21507.01886666323,10558.28725509554,97.5,47.9
Illinois,IL,Urban,116449.18987487095,116359.93841469385,20405.456212569447,99.9,17.5
Indiana,IN,Rural,22922.054048618455,22757.63791647276,11226.676407620058,99.3,49
Indiana,IN,Urban,67871.30885791626,67817.47827104636,15683.583707066042,99.9,23.1
Iowa,IA,Rural,12842.171589854477,12723.72920523908,5996.934104284376,99.1,46.7
Iowa,IA,Urban,19231.799924332972,19211.63741040662,2783.204253247539,99.9,14.5
Kansas,KS,Rural,12853.396946672361,12723.859754159015,6492.020771241691,99,50.5
Kansas,KS,Urban,20246.540201586242,20240.288046197773,3818.432528983992,100,18.9
Kentucky,KY,Rural,37109.05343875614,35158.16604644045,14543.094036635071,94.7,39.2
Kentucky,KY,Urban,33194.83667139733,33042.248140733325,6539.415122473211,99.5,19.7
Louisiana,LA,Rural,24936.91551758107,24397.138044942654,11873.668257215206,97.8,47.6
Louisiana,LA,Urban,70895.35545103763,69752.84903512069,14731.026523782804,98.4,20.8
Maine,ME,Rural,4517.632502190787,4435.840508501805,2410.266362023063,98.2,53.4
Maine,ME,Urban,5939.1974296275985,5918.188658817202,2730.4728616882026,99.6,46
