"","state_name","total_rural_eligible","no_supply_eligible","pct_no_supply"
"1","North Carolina",39557.0345212637,25665.3004976795,64.9
"2","Texas",54145.8711236166,23188.6012171946,42.8
"3","Georgia",37295.1675585901,18761.4236351965,50.3
"4","Mississippi",36827.2710152624,16838.3934682836,45.7
"5","Alabama",27549.4077697164,15317.6135454962,55.6
"6","Kentucky",37089.5355751189,14534.4976729986,39.2
"7","Missouri",26594.46329035,13759.1890660976,51.7
"8","Ohio",32558.874093096,13452.5813371833,41.3
"9","Louisiana",24930.667898532,11867.4206381674,47.6
"10","Tennessee",25358.4558064436,11824.2438007548,46.6
"11","Arkansas",23383.6553261249,11437.0315508422,48.9
"12","Indiana",22908.8914930625,11219.3100187313,49
"13","Illinois",22048.9088099157,10552.9746397113,47.9
"14","Oklahoma",27220.6474893162,9638.58108508159,35.4
"15","Wisconsin",14181.8446505345,8810.10615132671,62.1
"16","Michigan",20157.0222301948,8395.40734925352,41.7
"17","Pennsylvania",21439.8502744176,8098.53289242667,37.8
"18","Virginia",15879.6325537043,7794.7018267354,49.1
"19","Florida",15251.0944395493,7433.21234858197,48.7
"20","South Carolina",15713.0405700133,7388.29911505161,47
"21","New York",15819.4712619048,7386.50507655881,46.7
"22","Kansas",12848.6645657202,6488.60839028945,50.5
"23","Puerto Rico",6303.29548809524,6303.29548809524,100
"24","Minnesota",13507.0273714962,6199.65310330601,45.9
"25","Iowa",12829.4722218892,5992.54672333222,46.7
"26","New Mexico",15227.961465592,5214.55347006751,34.2
"27","West Virginia",12690.8100649351,4762.459,37.5
"28","Washington",9067.49529703065,4590.02365243732,50.6
"29","South Dakota",7257.98713095238,4122.50226190476,56.8
"30","Arizona",6951.82793650794,4028.84812698413,58
"31","Idaho",6903.94143939394,3349.82598484848,48.5
"32","Montana",6012.31747275641,3193.87009294872,53.1
"33","Colorado",6091.59672077922,3085.37507359307,50.6
"34","California",9475.97312198912,3043.31584038184,32.1
"35","Nebraska",6832.96972150072,2850.44992784993,41.7
"36","Oregon",9064.66104633252,2843.32645014116,31.4
"37","Alaska",3046.40142857143,2691.12342857143,88.3
"38","Maine",4514.83115603677,2407.46501586924,53.3
"39","North Dakota",3966.89679761905,2151.38512301587,54.2
"40","Utah",4497.70926587302,1803.53703968254,40.1
"41","Vermont",3232.24796623913,1766.86224300055,54.7
"42","New Hampshire",2862.2326007326,1727.93288933289,60.4
"43","Hawaii",2973.81540697674,1624.85093023256,54.6
"44","Wyoming",3747.62322927073,1447.69166716617,38.6
"45","Nevada",1769.38673992674,1436.22931135531,81.2
"46","Maryland",3072.11356060606,1135.50508207071,37
"47","Delaware",2506.77739130435,875.073913043478,34.9
"48","Massachusetts",719.233684210526,369.946052631579,51.4
"49","Connecticut",876.548632478632,364.564700854701,41.6
