"","state_name","total_children","children_in_desert","percent_in_desert","mean_adj_supply"
"1","Puerto Rico",13024,13024,100,0
"2","Alaska",5596,5401,96.5153681200858,0.080864346302972
"3","Hawaii",9862,9455,95.8730480632732,0.0375349307728797
"4","Idaho",13632,11373,83.4286971830986,0.206632914516659
"5","Kansas",21087,17285,81.9699340826101,0.213642623313504
"6","Montana",7053,4846,68.7083510562881,0.277482488479401
"7","Nevada",21140,14128,66.8306527909177,0.28164065151824
"8","Indiana",49271,32167,65.2858679547807,0.273896245571694
"9","Washington",52228,33429,64.0058972198821,0.295678517309195
"10","West Virginia",10526,6213,59.0252707581227,0.485038854222087
"11","Virginia",59319,34016,57.3441898885686,0.342167405846524
"12","Utah",28369,16191,57.0728612217561,0.323723892371833
"13","California",265295,149339,56.2916753048493,0.32800393760925
"14","North Carolina",71063,39561,55.6703207013495,0.398314061292464
"15","Tennessee",49002,26808,54.7079711032203,0.395520394801596
"16","Alabama",35415,19152,54.0787801778907,0.462695205579453
"17","Mississippi",21116,11355,53.7743890888426,0.638992640117594
"18","Wisconsin",38351,20613,53.7482725352664,0.405459226174926
"19","Arkansas",22224,11648,52.4118070554356,0.533618434946373
"20","Kentucky",31744,16506,51.9972278225806,0.478295127272866
"21","Maine",7653,3900,50.9604076832615,0.6344082842491
"22","Michigan",65839,32708,49.6787618280958,0.435915270445436
"23","Louisiana",34763,17206,49.4951528924431,0.42339439276625
"24","Illinois",85179,41974,49.2774040549901,0.37099883057305
"25","Missouri",43316,21334,49.252008495706,0.421402916102759
"26","South Dakota",7087,3452,48.7089036263581,0.53223997133953
"27","Wyoming",3832,1846,48.1732776617954,0.501896948797248
"28","Arizona",47930,22998,47.9824744418944,0.414542748917421
"29","South Carolina",34619,16481,47.6068055114244,0.590560138428473
"30","New Hampshire",7573,3521,46.4941238610854,0.59634424832261
"31","Vermont",3342,1516,45.3620586475165,0.788182308963623
"32","Pennsylvania",82334,37248,45.2401195132023,0.526573190988674
"33","Georgia",76443,34554,45.2023076017425,0.489990779181063
"34","Colorado",37792,17018,45.0306943268417,0.431543940371458
"35","Oklahoma",29614,13134,44.3506449652192,0.453456483346456
"36","Oregon",25444,11243,44.1872347115233,0.42467448079966
"37","North Dakota",6282,2751,43.7917860553964,0.639850222398871
"38","New Mexico",13318,5705,42.8367622766181,0.522129375596783
"39","Rhode Island",6410,2367,36.9266770670827,0.421712714217379
"40","Iowa",22947,8264,36.0134222338432,0.673951300364963
"41","New York",131124,45241,34.5024556907965,0.419945927277919
"42","Florida",133564,46044,34.4733610853224,0.595470523291075
"43","Maryland",43069,14806,34.3773944136154,0.494418109452312
"44","Minnesota",40786,13472,33.0309419898985,0.589247419894257
"45","Ohio",80775,26252,32.5001547508511,0.639962445301887
"46","Texas",231484,72415,31.2829396416167,0.586985257070147
"47","Connecticut",21707,6528,30.0732482609297,0.565530237467049
"48","Delaware",6547,1715,26.1952039101879,0.821257523897267
"49","Nebraska",15039,3859,25.6599507946007,0.751857161642631
"50","New Jersey",63147,15930,25.2268516319065,0.543912320567961
"51","Massachusetts",41947,8976,21.3984313538513,0.634133883943274
"52","District of Columbia",4916,265,5.39056143205858,0.762835138970328
