state_name,state_abbrv,total_eligible_children,desert_eligible_children,pct_in_desert
Puerto Rico,PR,76164.39,76164.39,100
Alaska,AK,8127.72,7883.93,97
Hawaii,HI,11133.91,10346.96,92.9
Kansas,KS,32348.57,26906.2,83.2
Idaho,ID,20275.11,16228.76,80
Nevada,NV,38304.19,26088.98,68.1
Montana,MT,10002.06,6441.28,64.4
California,CA,395377.15,239523.77,60.6
Washington,WA,65551.17,39539.99,60.3
Indiana,IN,88339.17,52894.36,59.9
West Virginia,WV,25683.920000000002,14337.42,55.8
Michigan,MI,126557,69682.17,55.1
Virginia,VA,76910.17,40847.54,53.1
North Carolina,NC,135338.18,68716.88,50.8
South Dakota,SD,11343.34,5707.59,50.3
Kentucky,KY,68953.81999999999,34586.01,50.2
Colorado,CO,44647.18,22140.52,49.6
Wyoming,WY,5590.9,2758.94,49.3
Arizona,AZ,83700,41142.35,49.2
Alabama,AL,86174.06999999999,42117.29,48.9
South Carolina,SC,73439.43000000001,34906.340000000004,47.5
Utah,UT,27409.93,12998.06,47.4
Arkansas,AR,53787.02,25463.37,47.3
Missouri,MO,74401.51,34589.56,46.5
Tennessee,TN,97086.54,45093.77,46.4
Oregon,OR,36871.56,16715.37,45.3
Louisiana,LA,96225.64,43033.33,44.7
Maine,ME,10200.06,4553.31,44.6
Mississippi,MS,57439.270000000004,25396.87,44.2
Connecticut,CT,6.75,2.96,43.9
Vermont,VT,3933.11,1727.05,43.9
Wisconsin,WI,52656.229999999996,22915.25,43.5
Georgia,GA,147325.88,63185.16,42.9
North Dakota,ND,7550.93,3172.26,42
Illinois,IL,137632.86,56643.87,41.2
New Mexico,NM,35505.05,14440.33,40.7
Oklahoma,OK,68470.08,25263.99,36.9
New Hampshire,NH,6591.25,2417.88,36.7
Pennsylvania,PA,137865.99,49233.94,35.7
Minnesota,MN,44177.15,14217.380000000001,32.2
Maryland,MD,53388.27,16707.04,31.3
Iowa,IA,31862.37,9538.19,29.9
Texas,TX,474711.67000000004,140641.22,29.6
Florida,FL,239269.31,70487.05,29.5
New York,NY,242126.80000000002,69129.9,28.6
Ohio,OH,158717.94999999998,40972.19,25.8
Delaware,DE,11499.92,2961.03,25.7
Rhode Island,RI,8780,2024.5300000000002,23.1
New Jersey,NJ,84005.73,18235.37,21.7
Nebraska,NE,19808.63,4146.74,20.9
Massachusetts,MA,51426.45,7215.62,14
District of Columbia,DC,9437.79,603.14,6.4
