"","state_name","total_eligible_children","desert_eligible_children","pct_in_desert"
"1","Puerto Rico",73560.9509605891,73560.9509605891,100
"2","Alaska",8531.45276190476,8257.51016666667,96.8
"3","Hawaii",11168.2730351819,10488.0839944842,93.9
"4","Idaho",20672.7027593114,17229.6574651937,83.3
"5","Kansas",33099.9371482605,27259.0095419028,82.4
"6","Montana",9971.99592059019,7030.66958556002,70.5
"7","Nevada",36029.9914063436,24424.8007516726,67.8
"8","Indiana",90793.3629065415,59369.0815729311,65.4
"9","Washington",61486.9623200488,39811.904723627,64.7
"10","California",377306.554313604,229306.130820033,60.8
"11","West Virginia",25957.7744582496,15558.0251139652,59.9
"12","South Dakota",11347.4321244705,6536.45120692786,57.6
"13","Utah",28661.373346763,16404.961374666,57.2
"14","Virginia",69146.5433826102,39149.5531433701,56.6
"15","North Carolina",132199.176091943,74655.2429218226,56.5
"16","Kentucky",70303.8901101446,38558.3880104818,54.8
"17","Alabama",84603.5943589137,46209.2899095436,54.6
"18","Wisconsin",49151.0421466742,25963.8076263753,52.8
"19","Tennessee",90655.694435993,47646.2423476499,52.6
"20","Mississippi",58475.5867008246,30673.0134674481,52.5
"21","Arkansas",53220.4875898804,27879.0514060977,52.4
"22","Michigan",124132.004319462,65095.3393804376,52.4
"23","Maine",10456.8299318178,5419.74700521597,51.8
"24","Arizona",80481.3057809933,40412.4433828806,50.2
"25","Louisiana",95832.2709686209,47505.0642442375,49.6
"26","South Carolina",72720.204888424,35717.3924489275,49.1
"27","Missouri",73389.6499496052,35857.3698792764,48.9
"28","New Hampshire",6043.25479675159,2951.98404065396,48.8
"29","Oregon",34868.884498179,16943.30026043,48.6
"30","Illinois",138508.384829607,67164.0994425305,48.5
"31","Vermont",3773.28818601935,1824.3840696713,48.3
"32","Wyoming",5524.27394721945,2662.23725441225,48.2
"33","North Dakota",7936.88152506266,3749.55310630743,47.2
"34","Colorado",40516.4235581095,18947.0992369839,46.8
"35","Georgia",138214.436159555,63158.9314632755,45.7
"36","New Mexico",33949.289126418,15422.7178055621,45.4
"37","Oklahoma",66079.9132211078,29476.9610411172,44.6
"38","Pennsylvania",131924.295312753,57621.2688605507,43.7
"39","Florida",232281.174878074,83022.0512892108,35.7
"40","Minnesota",44646.7498079482,15578.5204474356,34.9
"41","Iowa",32073.9715141879,10794.8088370835,33.7
"42","Maryland",51019.6166816779,16855.5799732848,33
"43","Rhode Island",9120.23623648768,3007.37999933546,33
"44","New York",215680.54919543,70412.708981325,32.6
"45","Texas",462340.855631772,144526.816280078,31.3
"46","Ohio",158884.506916753,49334.0714002725,31.1
"47","Connecticut",26774.4838741035,7738.36405037837,28.9
"48","Delaware",10705.0325583764,2938.94177515962,27.5
"49","Nebraska",19256.2607099055,4714.50076905325,24.5
"50","New Jersey",76663.6167300196,17480.9167918722,22.8
"51","Massachusetts",47278.4385938858,10390.0548017483,22
"52","District of Columbia",7524.97360406091,405.638324873096,5.4
