state_name,urb_code,urb_category,total_obs,desert_count,pct_desert
Alabama,2,Large fringe metro,8327,4175,50.13810495976942
Alabama,3,Medium metro,11942,5599,46.88494389549489
Alabama,4,Small metro,7489,4090,54.61343303511818
Alabama,5,Micropolitan,5028,3416,67.93953858392999
Alabama,6,Noncore,2629,1872,71.2057816660327
Alaska,3,Medium metro,3154,3153,99.96829422954978
Alaska,4,Small metro,792,792,100
Alaska,5,Micropolitan,186,132,70.96774193548387
Alaska,6,Noncore,1464,1324,90.43715846994536
Arizona,1,Large central metro,37312,15671,41.99989279588336
Arizona,2,Large fringe metro,2891,2219,76.75544794188862
Arizona,4,Small metro,5449,3293,60.43310699210864
Arizona,5,Micropolitan,1670,1299,77.78443113772455
Arizona,6,Noncore,608,516,84.86842105263158
Arkansas,2,Large fringe metro,436,178,40.825688073394495
Arkansas,3,Medium metro,10104,4353,43.081947743467936
Arkansas,4,Small metro,3549,1791,50.46491969568893
Arkansas,5,Micropolitan,4198,2505,59.67127203430205
Arkansas,6,Noncore,3937,2821,71.65354330708661
California,1,Large central metro,169926,86662,50.99984699222014
California,2,Large fringe metro,36892,23016,62.38750948715168
California,3,Medium metro,45965,31772,69.1221581638203
California,4,Small metro,7516,4676,62.21394358701436
California,5,Micropolitan,3611,2285,63.27887011908059
California,6,Noncore,1385,928,67.00361010830325
Colorado,1,Large central metro,9336,3027,32.422879177377894
Colorado,2,Large fringe metro,10494,4260,40.59462550028588
Colorado,3,Medium metro,12001,6267,52.220648279310055
Colorado,4,Small metro,2060,1056,51.262135922330096
Colorado,5,Micropolitan,2312,1419,61.37543252595156
Colorado,6,Noncore,1589,989,62.24040276903713
Connecticut,1,Large central metro,5922,1690,28.537656197230664
Connecticut,2,Large fringe metro,858,322,37.52913752913753
Connecticut,3,Medium metro,13868,3884,28.006922411306608
Connecticut,5,Micropolitan,1059,632,59.67894239848914
Delaware,2,Large fringe metro,3769,475,12.602812417086762
Delaware,4,Small metro,1357,601,44.28887251289609
Delaware,5,Micropolitan,1421,639,44.96833216045039
District of Columbia,1,Large central metro,4916,265,5.390561432058584
Florida,1,Large central metro,50153,12255,24.435228201702788
Florida,2,Large fringe metro,38131,12568,32.96005874485327
Florida,3,Medium metro,37073,16547,44.63356081245111
Florida,4,Small metro,4123,2096,50.83676934271162
Florida,5,Micropolitan,2275,1292,56.79120879120879
Florida,6,Noncore,1809,1286,71.0889994472084
Georgia,1,Large central metro,6904,1371,19.858053302433373
Georgia,2,Large fringe metro,36688,15180,41.37592673353685
Georgia,3,Medium metro,9209,4511,48.984688891301985
Georgia,4,Small metro,11481,5704,49.68208344220887
Georgia,5,Micropolitan,7906,4730,59.82797875031621
Georgia,6,Noncore,4255,3058,71.8683901292597
Hawaii,3,Medium metro,7003,7003,100
Hawaii,4,Small metro,1100,1100,100
Hawaii,5,Micropolitan,1759,1352,76.86185332575327
Idaho,3,Medium metro,5440,4679,86.01102941176471
Idaho,4,Small metro,4689,3853,82.17103860098102
Idaho,5,Micropolitan,2597,2146,82.63380824027723
Idaho,6,Noncore,906,695,76.71081677704194
Illinois,1,Large central metro,34762,14473,41.6345434670042
Illinois,2,Large fringe metro,27723,15141,54.61530137431014
Illinois,3,Medium metro,6668,3482,52.21955608878225
Illinois,4,Small metro,5675,2599,45.79735682819383
Illinois,5,Micropolitan,6590,3844,58.33080424886191
Illinois,6,Noncore,3761,2435,64.74341930337675
Indiana,1,Large central metro,8152,4013,49.227183513248285
Indiana,2,Large fringe metro,15146,9668,63.83203486068929
Indiana,3,Medium metro,7448,4949,66.44736842105263
Indiana,4,Small metro,7924,5381,67.90762241292276
Indiana,5,Micropolitan,7332,5429,74.04528096017458
Indiana,6,Noncore,3269,2727,83.42000611807893
Iowa,3,Medium metro,9606,2336,24.318134499271288
Iowa,4,Small metro,4786,1327,27.72670288340995
Iowa,5,Micropolitan,3311,1430,43.18936877076412
Iowa,6,Noncore,5244,3171,60.46910755148741
Kansas,2,Large fringe metro,6648,5774,86.8531889290012
Kansas,3,Medium metro,4765,4174,87.59706190975865
Kansas,4,Small metro,3572,2721,76.17581187010079
Kansas,5,Micropolitan,3209,2532,78.90308507323154
Kansas,6,Noncore,2893,2084,72.0359488420325
Kentucky,1,Large central metro,5733,1712,29.86220129077272
Kentucky,2,Large fringe metro,5510,2715,49.274047186932854
Kentucky,3,Medium metro,5289,2485,46.98430705237285
Kentucky,4,Small metro,3726,1926,51.690821256038646
Kentucky,5,Micropolitan,6189,3789,61.221522055259335
Kentucky,6,Noncore,5297,3879,73.23013026241269
Louisiana,3,Medium metro,21699,9440,43.50430895432969
Louisiana,4,Small metro,7527,4126,54.81599574863824
Louisiana,5,Micropolitan,3197,2083,65.15483265561464
Louisiana,6,Noncore,2340,1557,66.53846153846153
Maine,3,Medium metro,3092,1285,41.558861578266495
Maine,4,Small metro,1546,669,43.27296248382923
Maine,5,Micropolitan,730,339,46.438356164383556
